Class Catalogue - Class Search Results,,,,,,,
,,,,,,,
Search Type:,Class Search,,,,,,
Session:,Academic Year 2021/2022,,,,,,
Credit Scheme:,Strathclyde Standard 2003 and after,,,,,,
Classification:,Undergraduate,,,,,,
,,,,,,,
,,,,,,,
CODE,TITLE,CREDITS,LEVEL,UG/PG/CE,SEMESTER,EXCHANGE,ELECTIVE
16429,Computer Aided Engineering Design,20,Level 4,Undergraduate,Full Year 2021/2022,Y,NE
CX318,Computer And Electronic Systems Project,10,Level 3,Undergraduate,Full Year 2021/2022,N,NE
CS321,Computer Networks,20,Level 3,Undergraduate,Full Year 2021/2022,N,NE
CS210,Computer Systems And Architecture,20,Level 2,Undergraduate,Full Year 2021/2022,Y,PE
CS106,Computer Systems And Organisation,20,Level 1,Undergraduate,Full Year 2021/2022,Y,PE
PH386,Condensed Matter Physics,20,Level 3,Undergraduate,Full Year 2021/2022,Y,NE
X7205,Contemporary Childhood: A Sociological Perspective,20,Level 2,Undergraduate,Full Year 2021/2022,N,EO
B6437,Continuing Professional Development,20,Level 4,Undergraduate,Full Year 2021/2022,N,NE
EE472,Control Principles,20,Level 4,Undergraduate,Full Year 2021/2022,Y,PE
CH589,Core Chemistry Topics In Drug Discovery,20,Level 5,Undergraduate,Full Year 2021/2022,N,NE
CH591,Core Topics In Chemistry,20,Level 5,Undergraduate,Full Year 2021/2022,N,NE
AG219,Cost And Management Accounting,20,Level 2,Undergraduate,Full Year 2021/2022,Y,NE
B9300,Counselling Skills Laboratory,20,Level 3,Undergraduate,Full Year 2021/2022,N,NE
CH474,Cpu Honours Project And Dissertation,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
CH115,Cpu Medicinal Chemistry 1,120,Level 1,Undergraduate,Full Year 2021/2022,N,NE
CH328,Cpu Medicinal Chemistry 3,120,Level 3,Undergraduate,Full Year 2021/2022,N,NE
X3459,Creative Contexts For Learning Art And Design 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3455,Creative Contexts For Learning Art And Design 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3546,Creative Contexts For Learning Art And Design 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3547,Creative Contexts For Learning Art And Design 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3430,Creative Contexts For Learning Biology With Science 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3431,Creative Contexts For Learning Biology With Science 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3524,Creative Contexts For Learning Biology With Science 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3553,Creative Contexts For Learning Biology With Science 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3456,Creative Contexts For Learning Business Education 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3457,Creative Contexts For Learning Business Education 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3536,Creative Contexts For Learning Business Education 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3554,Creative Contexts For Learning Business Education 2 (Gaelic Medium),40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
X3403,Creative Contexts For Learning Chemistry With Science 1,40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3432,Creative Contexts For Learning Chemistry With Science 1 (Gaelic Medium),40,Level 4,Undergraduate,Full Year 2021/2022,N,NE
X3525,Creative Contexts For Learning Chemistry With Science 2,40,Level 5,Undergraduate,Full Year 2021/2022,N,NE
